Comuna;Criterio_elegibilidad;N° de vacunados;N° de vacunados_fil;Población objetivo;Avance vacunación;Servicio;fecha_actualizacion
Alhué;Población General;1564;15;4315;36.2;Occidente;17-04-2023
Buin;Población General;15602;155;49777;31.3;Sur;17-04-2023
Calera de Tango;Población General;4074;40;11769;34.6;Sur;17-04-2023
Cerrillos;Población General;11050;110;37700;29.3;Central;17-04-2023
Cerro Navia;Población General;16156;161;70538;22.9;Occidente;17-04-2023
Colina;Población General;18056;180;69061;26.1;Norte;17-04-2023
Conchalí;Población General;17166;171;55099;31.1;Norte;17-04-2023
Curacaví;Población General;3523;35;15550;22.6;Occidente;17-04-2023
El Bosque;Población General;32424;324;81250;39.9;Sur;17-04-2023
El Monte;Población General;3718;37;18218;20.4;Occidente;17-04-2023
Estación Central;Población General;21481;214;82377;26.1;Central;17-04-2023
Huechuraba;Población General;21624;216;49277;43.9;Norte;17-04-2023
Independencia;Población General;19656;196;59663;32.9;Norte;17-04-2023
Isla de Maipo;Población General;6146;61;18269;33.6;Occidente;17-04-2023
La Cisterna;Población General;14540;145;57432;25.3;Sur;17-04-2023
La Florida;Población General;45433;454;155838;29.1;Suroriente;17-04-2023
La Granja;Población General;24821;248;50245;49.4;Suroriente;17-04-2023
La Pintana;Población General;18353;183;70278;26.1;Suroriente;17-04-2023
La Reina;Población General;16926;169;43344;39.0;Oriente;17-04-2023
Lampa;Población General;11372;113;49096;23.2;Norte;17-04-2023
Las Condes;Población General;44969;449;132797;33.8;Oriente;17-04-2023
Lo Barnechea;Población General;15692;156;43225;36.3;Oriente;17-04-2023
Lo Espejo;Población General;10773;107;43769;24.6;Sur;17-04-2023
Lo Prado;Población General;21381;213;50571;42.3;Occidente;17-04-2023
Macul;Población General;18964;189;54434;34.8;Oriente;17-04-2023
Maipú;Población General;60811;607;219646;27.7;Central;17-04-2023
María Pinto;Población General;3133;31;6216;50.4;Occidente;17-04-2023
Melipilla;Población General;27492;274;62962;43.7;Occidente;17-04-2023
Padre Hurtado;Población General;6841;68;30508;22.4;Occidente;17-04-2023
Paine;Población General;9736;97;42004;23.2;Sur;17-04-2023
Pedro Aguirre Cerda;Población General;16201;161;44083;36.7;Sur;17-04-2023
Peñaflor;Población General;10355;103;38091;27.2;Occidente;17-04-2023
Peñalolén;Población General;31102;310;104742;29.7;Oriente;17-04-2023
Pirque;Población General;3790;37;12409;30.5;Suroriente;17-04-2023
Providencia;Población General;35142;351;78861;44.5;Oriente;17-04-2023
Pudahuel;Población General;35562;355;123971;28.7;Occidente;17-04-2023
Puente Alto;Población General;66495;664;226516;29.3;Suroriente;17-04-2023
Quilicura;Población General;28391;283;86938;32.7;Norte;17-04-2023
Quinta Normal;Población General;25415;254;57011;44.6;Occidente;17-04-2023
Recoleta;Población General;24270;242;79389;30.6;Norte;17-04-2023
Renca;Población General;16186;161;73834;21.9;Occidente;17-04-2023
San Bernardo;Población General;33541;335;142627;23.5;Sur;17-04-2023
San Joaquín;Población General;15657;156;48041;32.6;Sur;17-04-2023
San José de Maipo;Población General;2837;28;8534;33.2;Suroriente;17-04-2023
San Miguel;Población General;23251;232;65140;35.7;Sur;17-04-2023
San Pedro;Población General;2166;21;7026;30.8;Occidente;17-04-2023
San Ramón;Población General;14289;142;44042;32.4;Suroriente;17-04-2023
Santiago;Población General;50956;509;173883;29.3;Central;17-04-2023
Talagante;Población General;10155;101;35942;28.2;Occidente;17-04-2023
Tiltil;Población General;3955;39;9742;40.6;Norte;17-04-2023
Vitacura;Población General;19675;196;44616;44.1;Oriente;17-04-2023
Ñuñoa;Población General;22329;223;117184;19.0;Oriente;17-04-2023
Alhué;Personas mayores de 65 años y más;533;5;1029;51.8;Occidente;17-04-2023
Buin;Personas mayores de 65 años y más;4629;46;11563;40.0;Sur;17-04-2023
Calera de Tango;Personas mayores de 65 años y más;1168;11;3243;36.0;Sur;17-04-2023
Cerrillos;Personas mayores de 65 años y más;4206;42;11529;36.5;Central;17-04-2023
Cerro Navia;Personas mayores de 65 años y más;5848;58;19912;29.4;Occidente;17-04-2023
Colina;Personas mayores de 65 años y más;4597;45;13175;34.9;Norte;17-04-2023
Conchalí;Personas mayores de 65 años y más;7532;75;21451;35.1;Norte;17-04-2023
Curacaví;Personas mayores de 65 años y más;1523;15;5138;29.6;Occidente;17-04-2023
El Bosque;Personas mayores de 65 años y más;10039;100;23840;42.1;Sur;17-04-2023
El Monte;Personas mayores de 65 años y más;1314;13;4880;26.9;Occidente;17-04-2023
Estación Central;Personas mayores de 65 años y más;6207;62;28595;21.7;Central;17-04-2023
Huechuraba;Personas mayores de 65 años y más;5142;51;12637;40.7;Norte;17-04-2023
Independencia;Personas mayores de 65 años y más;5491;54;18517;29.6;Norte;17-04-2023
Isla de Maipo;Personas mayores de 65 años y más;2171;21;4884;44.4;Occidente;17-04-2023
La Cisterna;Personas mayores de 65 años y más;6045;60;16370;36.9;Sur;17-04-2023
La Florida;Personas mayores de 65 años y más;21639;216;59239;36.5;Suroriente;17-04-2023
La Granja;Personas mayores de 65 años y más;7901;78;16446;48.0;Suroriente;17-04-2023
La Pintana;Personas mayores de 65 años y más;6610;66;20063;32.9;Suroriente;17-04-2023
La Reina;Personas mayores de 65 años y más;5938;59;16530;35.9;Oriente;17-04-2023
Lampa;Personas mayores de 65 años y más;2997;29;9259;32.4;Norte;17-04-2023
Las Condes;Personas mayores de 65 años y más;20971;209;59480;35.3;Oriente;17-04-2023
Lo Barnechea;Personas mayores de 65 años y más;4565;45;11500;39.7;Oriente;17-04-2023
Lo Espejo;Personas mayores de 65 años y más;4432;44;13671;32.4;Sur;17-04-2023
Lo Prado;Personas mayores de 65 años y más;8494;84;17051;49.8;Occidente;17-04-2023
Macul;Personas mayores de 65 años y más;7034;70;22587;31.1;Oriente;17-04-2023
Maipú;Personas mayores de 65 años y más;26085;260;63302;41.2;Central;17-04-2023
María Pinto;Personas mayores de 65 años y más;1013;10;2033;49.8;Occidente;17-04-2023
Melipilla;Personas mayores de 65 años y más;7525;75;19249;39.1;Occidente;17-04-2023
Padre Hurtado;Personas mayores de 65 años y más;2489;24;8104;30.7;Occidente;17-04-2023
Paine;Personas mayores de 65 años y más;3512;35;9651;36.4;Sur;17-04-2023
Pedro Aguirre Cerda;Personas mayores de 65 años y más;6810;68;16959;40.2;Sur;17-04-2023
Peñaflor;Personas mayores de 65 años y más;4469;44;11995;37.3;Occidente;17-04-2023
Peñalolén;Personas mayores de 65 años y más;11649;116;31965;36.4;Oriente;17-04-2023
Pirque;Personas mayores de 65 años y más;1513;15;3764;40.2;Suroriente;17-04-2023
Providencia;Personas mayores de 65 años y más;9694;96;27465;35.3;Oriente;17-04-2023
Pudahuel;Personas mayores de 65 años y más;10948;109;25470;43.0;Occidente;17-04-2023
Puente Alto;Personas mayores de 65 años y más;21664;216;58764;36.9;Suroriente;17-04-2023
Quilicura;Personas mayores de 65 años y más;6419;64;17126;37.5;Norte;17-04-2023
Quinta Normal;Personas mayores de 65 años y más;6117;61;20596;29.7;Occidente;17-04-2023
Recoleta;Personas mayores de 65 años y más;8107;81;27948;29.0;Norte;17-04-2023
Renca;Personas mayores de 65 años y más;5859;58;18781;31.2;Occidente;17-04-2023
San Bernardo;Personas mayores de 65 años y más;9795;97;34582;28.3;Sur;17-04-2023
San Joaquín;Personas mayores de 65 años y más;5781;57;17309;33.4;Sur;17-04-2023
San José de Maipo;Personas mayores de 65 años y más;1000;10;2645;37.8;Suroriente;17-04-2023
San Miguel;Personas mayores de 65 años y más;7569;75;20082;37.7;Sur;17-04-2023
San Pedro;Personas mayores de 65 años y más;674;6;1962;34.4;Occidente;17-04-2023
San Ramón;Personas mayores de 65 años y más;4525;45;14027;32.2;Suroriente;17-04-2023
Santiago;Personas mayores de 65 años y más;15399;153;46393;33.2;Central;17-04-2023
Talagante;Personas mayores de 65 años y más;3306;33;9336;35.4;Occidente;17-04-2023
Tiltil;Personas mayores de 65 años y más;1149;11;2648;43.4;Norte;17-04-2023
Vitacura;Personas mayores de 65 años y más;6509;65;19228;33.8;Oriente;17-04-2023
Ñuñoa;Personas mayores de 65 años y más;12437;124;41918;29.7;Oriente;17-04-2023
Alhué;Niños y niñas de 6 meses a 5 años de edad;169;1;545;30.5;Occidente;17-04-2023
Buin;Niños y niñas de 6 meses a 5 años de edad;2317;23;9008;25.6;Sur;17-04-2023
Calera de Tango;Niños y niñas de 6 meses a 5 años de edad;686;6;2007;34.2;Sur;17-04-2023
Cerrillos;Niños y niñas de 6 meses a 5 años de edad;1543;15;6323;24.3;Central;17-04-2023
Cerro Navia;Niños y niñas de 6 meses a 5 años de edad;1814;18;9498;19.0;Occidente;17-04-2023
Colina;Niños y niñas de 6 meses a 5 años de edad;5146;51;18432;27.9;Norte;17-04-2023
Conchalí;Niños y niñas de 6 meses a 5 años de edad;1783;17;8799;20.2;Norte;17-04-2023
Curacaví;Niños y niñas de 6 meses a 5 años de edad;544;5;2693;20.2;Occidente;17-04-2023
El Bosque;Niños y niñas de 6 meses a 5 años de edad;5187;51;11587;44.7;Sur;17-04-2023
El Monte;Niños y niñas de 6 meses a 5 años de edad;283;2;3365;8.3;Occidente;17-04-2023
Estación Central;Niños y niñas de 6 meses a 5 años de edad;3390;33;13311;25.4;Central;17-04-2023
Huechuraba;Niños y niñas de 6 meses a 5 años de edad;3391;33;9101;37.2;Norte;17-04-2023
Independencia;Niños y niñas de 6 meses a 5 años de edad;1838;18;9773;18.8;Norte;17-04-2023
Isla de Maipo;Niños y niñas de 6 meses a 5 años de edad;679;6;3138;21.6;Occidente;17-04-2023
La Cisterna;Niños y niñas de 6 meses a 5 años de edad;1258;12;6145;20.2;Sur;17-04-2023
La Florida;Niños y niñas de 6 meses a 5 años de edad;5448;54;25045;21.7;Suroriente;17-04-2023
La Granja;Niños y niñas de 6 meses a 5 años de edad;4270;42;8026;53.2;Suroriente;17-04-2023
La Pintana;Niños y niñas de 6 meses a 5 años de edad;2785;27;15233;18.1;Suroriente;17-04-2023
La Reina;Niños y niñas de 6 meses a 5 años de edad;2442;24;5786;42.2;Oriente;17-04-2023
Lampa;Niños y niñas de 6 meses a 5 años de edad;2356;23;13038;18.0;Norte;17-04-2023
Las Condes;Niños y niñas de 6 meses a 5 años de edad;4476;44;18660;23.9;Oriente;17-04-2023
Lo Barnechea;Niños y niñas de 6 meses a 5 años de edad;3421;34;9484;36.0;Oriente;17-04-2023
Lo Espejo;Niños y niñas de 6 meses a 5 años de edad;1259;12;6918;18.2;Sur;17-04-2023
Lo Prado;Niños y niñas de 6 meses a 5 años de edad;2131;21;6274;33.9;Occidente;17-04-2023
Macul;Niños y niñas de 6 meses a 5 años de edad;2508;25;7965;31.5;Oriente;17-04-2023
Maipú;Niños y niñas de 6 meses a 5 años de edad;5502;54;37526;14.6;Central;17-04-2023
María Pinto;Niños y niñas de 6 meses a 5 años de edad;415;4;1074;38.5;Occidente;17-04-2023
Melipilla;Niños y niñas de 6 meses a 5 años de edad;4260;42;10543;40.4;Occidente;17-04-2023
Padre Hurtado;Niños y niñas de 6 meses a 5 años de edad;843;8;6428;13.1;Occidente;17-04-2023
Paine;Niños y niñas de 6 meses a 5 años de edad;1350;13;6370;21.1;Sur;17-04-2023
Pedro Aguirre Cerda;Niños y niñas de 6 meses a 5 años de edad;2113;21;6459;32.7;Sur;17-04-2023
Peñaflor;Niños y niñas de 6 meses a 5 años de edad;715;7;7887;9.1;Occidente;17-04-2023
Peñalolén;Niños y niñas de 6 meses a 5 años de edad;3581;35;17931;19.9;Oriente;17-04-2023
Pirque;Niños y niñas de 6 meses a 5 años de edad;396;3;2316;17.1;Suroriente;17-04-2023
Providencia;Niños y niñas de 6 meses a 5 años de edad;4067;40;8315;48.8;Oriente;17-04-2023
Pudahuel;Niños y niñas de 6 meses a 5 años de edad;4090;40;18904;21.6;Occidente;17-04-2023
Puente Alto;Niños y niñas de 6 meses a 5 años de edad;9606;95;49003;19.6;Suroriente;17-04-2023
Quilicura;Niños y niñas de 6 meses a 5 años de edad;5218;52;20204;25.8;Norte;17-04-2023
Quinta Normal;Niños y niñas de 6 meses a 5 años de edad;3920;39;8536;45.9;Occidente;17-04-2023
Recoleta;Niños y niñas de 6 meses a 5 años de edad;3208;32;12275;26.1;Norte;17-04-2023
Renca;Niños y niñas de 6 meses a 5 años de edad;2099;20;12275;17.1;Occidente;17-04-2023
San Bernardo;Niños y niñas de 6 meses a 5 años de edad;4635;46;26806;17.3;Sur;17-04-2023
San Joaquín;Niños y niñas de 6 meses a 5 años de edad;2287;22;6167;37.0;Sur;17-04-2023
San José de Maipo;Niños y niñas de 6 meses a 5 años de edad;239;2;1257;18.9;Suroriente;17-04-2023
San Miguel;Niños y niñas de 6 meses a 5 años de edad;1957;19;8809;22.2;Sur;17-04-2023
San Pedro;Niños y niñas de 6 meses a 5 años de edad;131;1;904;14.5;Occidente;17-04-2023
San Ramón;Niños y niñas de 6 meses a 5 años de edad;1621;16;5561;29.1;Suroriente;17-04-2023
Santiago;Niños y niñas de 6 meses a 5 años de edad;5060;50;26174;19.3;Central;17-04-2023
Talagante;Niños y niñas de 6 meses a 5 años de edad;1229;12;6323;19.4;Occidente;17-04-2023
Tiltil;Niños y niñas de 6 meses a 5 años de edad;503;5;1647;30.4;Norte;17-04-2023
Vitacura;Niños y niñas de 6 meses a 5 años de edad;3631;36;6172;58.7;Oriente;17-04-2023
Ñuñoa;Niños y niñas de 6 meses a 5 años de edad;1626;16;14808;11.0;Oriente;17-04-2023
Alhué;Estrategia Capullo;12;;29;41.4;Occidente;17-04-2023
Buin;Estrategia Capullo;65;;359;18.1;Sur;17-04-2023
Calera de Tango;Estrategia Capullo;1;;64;1.6;Sur;17-04-2023
Cerrillos;Estrategia Capullo;7;;185;3.8;Central;17-04-2023
Cerro Navia;Estrategia Capullo;35;;351;10.0;Occidente;17-04-2023
Colina;Estrategia Capullo;5;;522;1.0;Norte;17-04-2023
Conchalí;Estrategia Capullo;13;;282;4.6;Norte;17-04-2023
Curacaví;Estrategia Capullo;16;;88;18.2;Occidente;17-04-2023
El Bosque;Estrategia Capullo;62;;359;17.3;Sur;17-04-2023
El Monte;Estrategia Capullo;1;;100;1.0;Occidente;17-04-2023
Estación Central;Estrategia Capullo;15;;545;2.8;Central;17-04-2023
Huechuraba;Estrategia Capullo;58;;224;25.9;Norte;17-04-2023
Independencia;Estrategia Capullo;24;;348;6.9;Norte;17-04-2023
Isla de Maipo;Estrategia Capullo;13;;90;14.4;Occidente;17-04-2023
La Cisterna;Estrategia Capullo;59;;235;25.1;Sur;17-04-2023
La Florida;Estrategia Capullo;27;;828;3.3;Suroriente;17-04-2023
La Granja;Estrategia Capullo;5;;251;2.0;Suroriente;17-04-2023
La Pintana;Estrategia Capullo;20;;478;4.2;Suroriente;17-04-2023
La Reina;Estrategia Capullo;47;;157;29.9;Oriente;17-04-2023
Lampa;Estrategia Capullo;9;;450;2.0;Norte;17-04-2023
Las Condes;Estrategia Capullo;40;;736;5.4;Oriente;17-04-2023
Lo Barnechea;Estrategia Capullo;19;;272;7.0;Oriente;17-04-2023
Lo Espejo;Estrategia Capullo;12;;231;5.2;Sur;17-04-2023
Lo Prado;Estrategia Capullo;2;;192;1.0;Occidente;17-04-2023
Macul;Estrategia Capullo;14;;275;5.1;Oriente;17-04-2023
Maipú;Estrategia Capullo;41;;1020;4.0;Central;17-04-2023
María Pinto;Estrategia Capullo;1;;43;2.3;Occidente;17-04-2023
Melipilla;Estrategia Capullo;53;;409;13.0;Occidente;17-04-2023
Paine;Estrategia Capullo;24;;205;11.7;Sur;17-04-2023
Pedro Aguirre Cerda;Estrategia Capullo;24;;216;11.1;Sur;17-04-2023
Peñaflor;Estrategia Capullo;18;;218;8.3;Occidente;17-04-2023
Peñalolén;Estrategia Capullo;11;;484;2.3;Oriente;17-04-2023
Providencia;Estrategia Capullo;23;;362;6.4;Oriente;17-04-2023
Pudahuel;Estrategia Capullo;16;;507;3.2;Occidente;17-04-2023
Puente Alto;Estrategia Capullo;41;;1266;3.2;Suroriente;17-04-2023
Quilicura;Estrategia Capullo;103;1;534;19.3;Norte;17-04-2023
Quinta Normal;Estrategia Capullo;5;;331;1.5;Occidente;17-04-2023
Recoleta;Estrategia Capullo;33;;400;8.2;Norte;17-04-2023
Renca;Estrategia Capullo;48;;380;12.6;Occidente;17-04-2023
San Bernardo;Estrategia Capullo;45;;811;5.5;Sur;17-04-2023
San Joaquín;Estrategia Capullo;30;;205;14.6;Sur;17-04-2023
San José de Maipo;Estrategia Capullo;1;;38;2.6;Suroriente;17-04-2023
San Miguel;Estrategia Capullo;28;;428;6.5;Sur;17-04-2023
San Ramón;Estrategia Capullo;5;;193;2.6;Suroriente;17-04-2023
Santiago;Estrategia Capullo;63;;1090;5.8;Central;17-04-2023
Talagante;Estrategia Capullo;5;;191;2.6;Occidente;17-04-2023
Tiltil;Estrategia Capullo;35;;63;55.6;Norte;17-04-2023
Vitacura;Estrategia Capullo;7;;320;2.2;Oriente;17-04-2023
Ñuñoa;Estrategia Capullo;28;;564;5.0;Oriente;17-04-2023
Alhué;Enfermos cronicos de 11 a 64 años de edad;605;6;1635;37.0;Occidente;17-04-2023
Buin;Enfermos cronicos de 11 a 64 años de edad;3809;38;14848;25.6;Sur;17-04-2023
Calera de Tango;Enfermos cronicos de 11 a 64 años de edad;845;8;2868;29.5;Sur;17-04-2023
